image,col1_N,col2_N,col1_TSA,col2_TSA,col1_CH,col2_CH,col1_TP,col2_TP
13_13_5.png,13,13,17337,17345,176901.99999999997,135139.0,1480,1472
13_13_50.png,13,13,40505,40593,227758.0,166861.50000000003,2268,2284
13_13_51.png,13,13,36425,36605,229670.5,176249.50000000006,2160,2148
13_13_52.png,13,13,26713,26705,167521.00000000006,250350.00000000006,1832,1836
13_13_53.png,13,13,11333,11449,239355.0,171399.00000000006,1200,1204
13_13_54.png,13,13,10433,10369,134400.00000000003,180806.0,1144,1124
13_13_55.png,13,13,25565,25245,198327.99999999994,149179.5000000001,1800,1788
13_13_56.png,13,13,25537,25601,157850.49999999997,213107.49999999997,1800,1812
13_13_57.png,13,13,34049,33805,206719.0000000001,277012.00000000006,2076,2068
13_13_58.png,13,13,34425,34473,193420.49999999997,146408.00000000003,2084,2096
13_13_59.png,13,13,14621,14729,163088.50000000003,213831.00000000006,1352,1352
13_13_6.png,13,13,35913,36093,221513.49999999994,168234.4999999999,2124,2128
13_13_60.png,13,13,18825,19345,169633.99999999997,232356.49999999997,1544,1568
13_13_61.png,13,13,41897,41769,265219.99999999994,180352.50000000003,2300,2312
13_13_62.png,13,13,18117,17993,137797.5,180084.00000000006,1512,1500
13_13_63.png,13,13,8349,8393,186550.5,138654.00000000003,1012,1020
13_13_64.png,13,13,10909,11049,180454.49999999994,135589.0,1176,1164
13_13_65.png,13,13,28881,29001,165117.00000000006,225928.5,1912,1932
13_13_66.png,13,13,10889,10901,158095.99999999994,218863.00000000003,1176,1160
13_13_67.png,13,13,9405,9405,150214.00000000006,196357.50000000006,1080,1080
13_13_68.png,13,13,19781,19869,170363.00000000003,123563.50000000001,1588,1588
13_13_69.png,13,13,16201,16221,159536.0,209249.50000000006,1428,1436
13_13_7.png,13,13,23773,24189,156020.00000000003,218155.99999999997,1728,1748
13_13_70.png,13,13,14505,14597,150828.99999999997,213866.99999999997,1336,1356
13_13_71.png,13,13,13345,13353,151319.99999999997,213952.49999999997,1292,1296
13_13_72.png,13,13,17641,17681,167667.5,219019.00000000006,1488,1492
13_13_73.png,13,13,19897,20293,129385.49999999999,176271.00000000003,1588,1592
13_13_74.png,13,13,21081,21093,163450.50000000003,217005.50000000003,1628,1632
13_13_75.png,13,13,28377,27833,181617.4999999999,249428.0,1900,1876
13_13_76.png,13,13,25177,24689,168757.5,226131.99999999997,1772,1756
13_13_77.png,13,13,21129,21165,228174.49999999997,167709.50000000006,1640,1628
13_13_78.png,13,13,19217,19157,169284.49999999997,125067.00000000001,1572,1544
13_13_79.png,13,13,11593,11529,219985.4999999999,154761.49999999994,1200,1208
13_13_8.png,13,13,9793,9641,151199.5,201012.99999999997,1100,1092
13_13_80.png,13,13,18033,18037,193028.49999999994,148096.49999999997,1524,1504
13_13_81.png,13,13,18501,18369,167890.50000000003,116527.49999999999,1520,1508
13_13_82.png,13,13,39721,39797,223633.99999999997,165976.50000000012,2244,2244
13_13_83.png,13,13,16349,16209,223158.5,159449.00000000003,1436,1428
13_13_84.png,13,13,28781,28749,246146.99999999994,188899.0000000001,1904,1916
13_13_85.png,13,13,14221,14461,211956.5,146284.00000000003,1332,1344
13_13_86.png,13,13,31189,31249,150670.0000000001,215845.49999999994,1984,2012
13_13_87.png,13,13,27525,28105,161812.5,214492.5,1872,1852
13_13_88.png,13,13,31385,31445,238110.99999999997,182138.00000000006,1996,2000
13_13_89.png,13,13,24457,24801,177474.99999999997,131191.50000000003,1756,1776
13_13_9.png,13,13,10129,10073,155860.00000000003,221428.50000000003,1128,1124
13_13_90.png,13,13,33841,33765,244617.00000000003,184726.0,2076,2068
13_13_91.png,13,13,14297,14185,241763.49999999994,173845.49999999997,1344,1332
13_13_92.png,13,13,13553,13885,206995.50000000006,154165.99999999997,1300,1328
13_13_93.png,13,13,14869,15193,245827.0,189301.50000000006,1372,1380
13_13_94.png,13,13,27197,27121,158686.50000000003,218825.99999999997,1864,1840
13_13_95.png,13,13,10777,10889,164254.00000000003,110501.0,1156,1160
13_13_96.png,13,13,13221,13201,135681.50000000003,181378.49999999997,1292,1284
13_13_97.png,13,13,14753,14957,119490.50000000001,163586.50000000003,1356,1372
13_13_98.png,13,13,16577,16549,121505.50000000001,170589.50000000003,1444,1456
13_13_99.png,13,13,18089,18125,176875.49999999997,131818.0,1508,1504
13_19_0.png,13,19,24185,24135,182142.00000000006,239912.00000000003,1744,2112
13_19_1.png,13,19,22813,22155,177383.99999999994,242195.99999999997,1704,2012
13_19_10.png,13,19,27781,27667,150841.0,211405.50000000006,1884,2260
13_19_11.png,13,19,25837,25535,161538.00000000003,211549.00000000006,1816,2172
13_19_12.png,13,19,27637,27499,198522.00000000003,266598.0,1856,2252
13_19_13.png,13,19,19885,19651,133800.5,175354.0,1584,1904
13_19_14.png,13,19,14385,14143,184193.99999999997,245481.50000000003,1340,1616
13_19_15.png,13,19,14889,14495,171692.0,228839.99999999988,1372,1620
13_19_16.png,13,19,11809,11795,157303.5,224074.49999999997,1224,1468
13_19_17.png,13,19,9489,9655,161771.99999999994,215867.0,1092,1316
